x,y,site_id,date,water_year,water_day,swe,year,peak_swe,sm50_swe,peak_date,peak_day,peak_met,sm50_day,sm50_date,sm50_met,apr1_swe,ptile_swe,wy_n,elev_ft,latitude,longitude,site_name,sntl_id
548.89,211.88,1001,2021-04-01,2021,183,45.3,2021,49.8,24.9,2021-04-05,187,TBD,187,2021-04-05,TBD,45.3,NA,11,850,  58.19,-133.83,Long Lake,SNTL:1001
382.43,212.17,1003,2021-04-01,2021,183,14.6,2021,14.9,7.45,2021-04-05,187,TBD,187,2021-04-05,TBD,14.6,0.8181818181818182,22,1320,  59.74,-151.25,Mcneil Canyon,SNTL:1003
400.89,180.83,1035,2021-04-01,2021,183,8.3,2021,8.4,4.2,2021-04-05,187,TBD,187,2021-04-05,TBD,8.3,NA,9,2100,  61.38,-149.00,Moraine,SNTL:1035
430.57,181.35,1055,2021-04-01,2021,183,20.1,2021,20.3,10.15,2021-04-05,187,TBD,187,2021-04-05,TBD,20.1,NA,7,1750,  61.19,-145.65,Upper Tsaina River,SNTL:1055
381.69,209.99,1062,2021-04-01,2021,183,17.7,2021,17.9,8.95,2021-04-05,187,TBD,187,2021-04-05,TBD,17.7,NA,19,1653,  59.86,-151.32,Anchor River Divide,SNTL:1062
395.35,186.2,1070,2021-04-01,2021,183,12.9,2021,12.9,6.45,2021-04-05,187,TBD,187,2021-04-05,TBD,12.9,NA,5,2080,  61.11,-149.67,Anchorage Hillside,SNTL:1070
381.66,142.15,1072,2021-04-01,2021,183,8.1,2021,8.3,4.15,2021-03-29,180,2021-03-29,187,2021-04-05,TBD,8.1,NA,NA,1550,  63.54,-150.99,Kantishna,SNTL:1072
431.15,193.16,1073,2021-04-01,2021,183,27.5,2021,28.3,14.15,2021-04-05,187,TBD,187,2021-04-05,TBD,27.5,NA,5,1405,  60.55,-145.75,Mt. Eyak,SNTL:1073
384.18,158.8,1089,2021-04-01,2021,183,15.1,2021,15.7,7.85,2021-04-05,187,TBD,187,2021-04-05,TBD,15.1,NA,4,850,  62.63,-150.78,Tokositna Valley,SNTL:1089
397.9,173.47,1091,2021-04-01,2021,183,15.3,2021,17,8.5,2021-04-05,187,TBD,187,2021-04-05,TBD,15.3,NA,NA,3550,  61.79,-149.28,Independence Mine,SNTL:1091
396.9,203.09,1092,2021-04-01,2021,183,21.6,2021,21.6,10.8,2021-04-01,183,2021-04-01,187,2021-04-05,TBD,21.6,NA,NA,400,  60.19,-149.62,Exit Glacier,SNTL:1092
459.07,160.57,1093,2021-04-01,2021,183,3.8,2021,3.8,1.9,2021-04-05,187,TBD,187,2021-04-05,TBD,3.8,NA,2,3320,  62.07,-142.05,Chisana,SNTL:1093
409.29,144.44,1094,2021-04-01,2021,183,7.2,2021,7.6,3.8,2021-04-05,187,TBD,187,2021-04-05,TBD,7.2,NA,NA,2710,  63.31,-147.65,Monahan Flat,SNTL:1094
455.73,174.62,1096,2021-04-01,2021,183,8.6,2021,8.8,4.4,2021-04-05,187,TBD,187,2021-04-05,TBD,8.6,NA,3,1610,  61.35,-142.71,May Creek,SNTL:1096
400.67,188.6,1103,2021-04-01,2021,183,32.8,2021,33.2,16.6,2021-04-05,187,TBD,187,2021-04-05,TBD,32.8,0.5172413793103449,29,1540,  60.96,-149.09,Mt. Alyeska,SNTL:1103
299.55,58.64,1175,2021-04-01,2021,183,6.1,2021,6.4,3.2,2021-04-04,186,2021-04-04,187,2021-04-05,TBD,6.1,NA,3,310,  67.93,-162.28,Kelly Station,SNTL:1175
374.94,80.34,1182,2021-04-01,2021,183,5.5,2021,6.2,3.1,2021-04-05,187,TBD,187,2021-04-05,TBD,5.5,0.3333333333333333,30,640,  66.92,-151.53,Bettles Field,SNTL:1182
456.42,110.14,1189,2021-04-01,2021,183,3.4,2021,3.6,1.8,2021-04-05,187,TBD,187,2021-04-05,TBD,3.4,NA,NA,1050,  64.79,-141.23,American Creek,SNTL:1189
410.1,117.56,1260,2021-04-01,2021,183,4.3,2021,5.6,2.8,2021-04-05,187,TBD,187,2021-04-05,TBD,4.3,NA,NA,500,  64.76,-147.22,Chena Lakes,SNTL:1260
384.01,175.03,1267,2021-04-01,2021,183,10.1,2021,10.1,5.05,2021-04-05,187,TBD,187,2021-04-05,TBD,10.1,NA,NA,160,  61.75,-150.89,Alexander Lake,SNTL:1267
426.09,144.61,1268,2021-04-01,2021,183,7.3,2021,7.8,3.9,2021-04-05,187,TBD,187,2021-04-05,TBD,7.3,NA,NA,3000,  63.20,-145.63,Fielding Lake,SNTL:1268
536.71,205.78,1270,2021-04-01,2021,183,25.7,2021,26,13,2021-04-02,184,2021-04-02,187,2021-04-05,TBD,25.7,NA,NA,2065,  58.70,-134.86,Heen Latinee,SNTL:1270
457.88,121.84,1275,2021-04-01,2021,183,4.4,2021,4.4,2.2,2021-04-01,183,2021-04-01,187,2021-04-05,TBD,4.4,NA,NA,3585,  64.15,-141.33,Jack Wade Jct,SNTL:1275
520.31,197.05,1285,2021-04-01,2021,183,38.2,2021,38.3,19.15,2021-04-05,187,TBD,187,2021-04-05,TBD,38.2,NA,NA,2510,  59.40,-136.28,Flower Mountain,SNTL:1285
335.78,120.94,429,2021-04-01,2021,183,5.3,2021,5.8,2.9,2021-04-05,187,TBD,187,2021-04-05,TBD,5.3,NA,NA,410,  64.70,-156.71,Galena AK,SNTL:429
398.04,174.2,641,2021-04-01,2021,183,16.1,2021,18.1,9.05,2021-04-05,187,TBD,187,2021-04-05,TBD,16.1,NA,NA,2700,  61.75,-149.27,Frostbite Bottom,SNTL:641
343.63,153.4,785,2021-04-01,2021,183,11,2021,11.6,5.8,2021-04-05,187,TBD,187,2021-04-05,TBD,11,NA,NA,340,  62.95,-155.61,McGrath,SNTL:785
397.07,186.83,946,2021-04-01,2021,183,25.6,2021,26.5,13.25,2021-04-05,187,TBD,187,2021-04-05,TBD,25.6,0.7333333333333333,30,2350,  61.07,-149.48,Indian Pass,SNTL:946
413.2,110.58,947,2021-04-01,2021,183,5,2021,5.7,2.85,2021-04-04,186,2021-04-04,187,2021-04-05,TBD,5,0.5517241379310345,29,2000,  65.12,-146.73,Little Chena Ridge,SNTL:947
417.37,107.7,948,2021-04-01,2021,183,6.6,2021,8.1,4.05,2021-04-05,187,TBD,187,2021-04-05,TBD,6.6,0.6896551724137931,29,2800,  65.25,-146.15,Mt. Ryan,SNTL:948
419.9,110.54,949,2021-04-01,2021,183,5.4,2021,6.4,3.2,2021-04-05,187,TBD,187,2021-04-05,TBD,5.4,0.6666666666666666,30,1850,  65.08,-145.87,Monument Creek,SNTL:949
417.78,115.05,950,2021-04-01,2021,183,9.2,2021,11.2,5.6,2021-04-05,187,TBD,187,2021-04-05,TBD,9.2,0.8,30,3100,  64.85,-146.21,Munson Ridge,SNTL:950
422.89,112.57,951,2021-04-01,2021,183,4.8,2021,5.3,2.65,2021-04-05,187,TBD,187,2021-04-05,TBD,4.8,0.7586206896551724,29,1640,  64.95,-145.52,Teuchet Creek,SNTL:951
427.07,109.24,952,2021-04-01,2021,183,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2850,  65.10,-144.93,Upper Chena,SNTL:952
399.71,176.85,953,2021-04-01,2021,183,1.7,2021,1.8,0.9,2021-04-05,187,TBD,187,2021-04-05,TBD,1.7,NA,NA,230,  61.60,-149.10,East Palmer,SNTL:953
400.11,191.97,954,2021-04-01,2021,183,36.5,2021,36.6,18.3,2021-03-31,182,2021-03-31,187,2021-04-05,TBD,36.5,0.6071428571428571,28,1880,  60.78,-149.18,Turnagain Pass,SNTL:954
397.19,195.13,955,2021-04-01,2021,183,12.2,2021,12.3,6.15,2021-03-31,182,2021-03-31,187,2021-04-05,TBD,12.2,0.6190476190476191,21,1400,  60.62,-149.53,Summit Creek,SNTL:955
401.41,195.01,956,2021-04-01,2021,183,35.9,2021,36.5,18.25,2021-04-05,187,TBD,187,2021-04-05,TBD,35.9,NA,NA,1100,  60.61,-149.06,Grandview,SNTL:956
384.36,73.85,958,2021-04-01,2021,183,3.8,2021,4.3,2.15,2021-04-05,187,TBD,187,2021-04-05,TBD,3.8,NA,16,1040,  67.25,-150.18,Coldfoot,SNTL:958
396.03,199.45,959,2021-04-01,2021,183,17.6,2021,18,9,2021-04-05,187,TBD,187,2021-04-05,TBD,17.6,0.7241379310344828,29,1200,  60.39,-149.69,Cooper Lake,SNTL:959
426.22,130.86,963,2021-04-01,2021,183,4.2,2021,4.5,2.25,2021-04-05,187,TBD,187,2021-04-05,TBD,4.2,0.5909090909090909,22,1240,  63.94,-145.40,Granite Crk,SNTL:963
399.36,201.63,964,2021-04-01,2021,183,25.6,2021,25.7,12.85,2021-04-04,186,2021-04-04,187,2021-04-05,TBD,25.6,NA,NA,700,  60.26,-149.34,Grouse Creek Divide,SNTL:964
388.56,193.62,966,2021-04-01,2021,183,5,2021,5.5,2.75,2021-03-29,180,2021-03-29,187,2021-04-05,TBD,5,NA,NA,300,  60.73,-150.48,Kenai Moose Pens,SNTL:966
390.96,167.65,967,2021-04-01,2021,183,9,2021,9.5,4.75,2021-04-05,187,TBD,187,2021-04-05,TBD,9,0.5217391304347826,23,375,  62.13,-150.04,Susitna Valley High,SNTL:967
377.13,219.55,987,2021-04-01,2021,183,12,2021,12.4,6.2,2021-04-05,187,TBD,187,2021-04-05,TBD,12,NA,10,300,  59.35,-151.85,Port Graham,SNTL:987
