"x","y","site_id","water_year","diff_peak","diff_sm50","perd_peak","perd_sm50","perpast_peak","perpast_sm50","anom_peak","anom_sm50","mean","median","n","sd","ptile","date","water_day","swe","year","diff","perc_ch","perc","anomaly","today_diff","today_perc_ch","today_perc","today_anomaly"
379.54,220.96,987,2021,-1.235,NA,-13.0895601483837,NA,86.9104398516163,NA,-0.228286790619024,NA,6.52,7,10,4.27390011841903,0.6,"2021-03-04",155,7.4,2021,0.880000000000001,13.4969325153374,113.496932515337,0.205900927868554,NA,NA,NA,NA
386.81,74.32,958,2021,-4.545,NA,-62.7329192546584,NA,37.2670807453416,NA,-1.98839549640639,NA,5.4,5.1,16,2.5298221281347,0.1875,"2021-03-04",155,2.8,2021,-2.6,-48.1481481481482,51.8518518518518,-1.02774023955472,NA,NA,NA,NA
301.47,59.01,1175,2021,-1.65555555555556,NA,-26.4653641207815,NA,73.5346358792185,NA,-0.60101658617235,NA,7.03333333333333,8.5,3,2.80416357107308,0.333333333333333,"2021-03-04",155,4.4,2021,-2.63333333333333,-37.4407582938389,62.5592417061611,-0.939079788532316,NA,NA,NA,NA
401.91,202.92,964,2021,7.445,NA,45.5212473249771,NA,145.521247324977,NA,1.13012860924598,NA,14.1,14.4,12,5.44493092033983,1,"2021-03-04",155,23.8,2021,9.7,68.7943262411348,168.794326241135,1.78147347356881,NA,NA,NA,NA
399.73,196.38,955,2021,0.0599999999999987,NA,0.543478260869554,NA,100.54347826087,NA,0.0172193022372588,NA,10.0142857142857,10.1,21,2.50963856247981,0.714285714285714,"2021-03-04",155,11.1,2021,1.08571428571429,10.8416547788873,110.841654778887,0.432617788850629,NA,NA,NA,NA
393.46,168.72,967,2021,-1.425,NA,-16.9139465875371,NA,83.0860534124629,NA,-0.558800915048541,NA,8.53478260869565,7.6,23,3.25654706924823,0.434782608695652,"2021-03-04",155,7.2,2021,-1.33478260869565,-15.6393275598574,84.3606724401427,-0.409876651653552,NA,NA,NA,NA
428.94,131.7,963,2021,-0.855,NA,-21.0850801479655,NA,78.9149198520345,NA,-0.621925316937837,NA,3.66818181818182,3.6,22,1.09474344184526,0.409090909090909,"2021-03-04",155,3.2,2021,-0.468181818181818,-12.7633209417596,87.2366790582404,-0.427663505700174,NA,NA,NA,NA
384.88,213.52,1003,2021,1.6,NA,13.9130434782609,NA,113.913043478261,NA,0.357629734619314,NA,9.22272727272727,9.1,22,3.45955293260654,0.863636363636364,"2021-03-04",155,13.4,2021,4.17727272727273,45.2932479053721,145.293247905372,1.20746027265593,NA,NA,NA,NA
403.98,196.26,956,2021,-3.305,NA,-10.5238019423659,NA,89.4761980576341,NA,-0.23043842665069,NA,25,26.9,19,8.46509171703283,0.578947368421053,"2021-03-04",155,28.6,2021,3.6,14.4,114.4,0.425275959238144,NA,NA,NA,NA
391.05,194.86,966,2021,-0.785,NA,-16.405433646813,NA,83.594566353187,NA,-0.453675856038504,NA,4.44090909090909,4.05,22,1.80228930897532,0.545454545454545,"2021-03-04",155,4.2,2021,-0.24090909090909,-5.42476970317296,94.575230296827,-0.133668379271504,NA,NA,NA,NA
398.56,200.73,959,2021,0.34,NA,2.25763612217795,NA,102.257636122178,NA,0.0556167679233286,NA,13.6931034482759,13.1,29,4.21044034297761,0.758620689655172,"2021-03-04",155,15.8,2021,2.10689655172414,15.3865525056661,115.386552505666,0.500398148435503,NA,NA,NA,NA
402.67,193.2,954,2021,-5.91999999999999,NA,-14.7557328015952,NA,85.2442671984048,NA,-0.333802160393444,NA,30.1714285714286,27.95,28,9.43515322621294,0.678571428571429,"2021-03-04",155,33.1,2021,2.92857142857143,9.7064393939394,109.706439393939,0.310389387258197,NA,NA,NA,NA
384.14,211.33,1062,2021,3.29375,NA,25.7198633479746,NA,125.719863347975,NA,1.04559321013952,NA,10.3210526315789,10.2,19,2.39550016752902,1,"2021-03-04",155,16.3,2021,5.97894736842105,57.9296277409485,157.929627740948,2.49590772293219,NA,NA,NA,NA
377.34,80.85,1182,2021,-3.07,NA,-42.2283356258597,NA,57.7716643741403,NA,-1.19451017246346,NA,5.80333333333333,5.65,30,2.22903772857309,0.233333333333333,"2021-03-04",155,4.1,2021,-1.70333333333333,-29.350947731189,70.649052268811,-0.764156349396434,NA,NA,NA,NA
415.84,111.29,947,2021,-1.675,NA,-30.5936073059361,NA,69.4063926940639,NA,-0.995985194915239,NA,4.66896551724138,4.4,29,2.03734832008174,0.448275862068966,"2021-03-04",155,3.9,2021,-0.76896551724138,-16.4697193500739,83.5302806499261,-0.377434486612739,NA,NA,NA,NA
420.05,108.39,948,2021,-1.425,NA,-21.5094339622642,NA,78.4905660377359,NA,-0.662150174424319,NA,4.87586206896552,4.4,29,2.00457604573952,0.620689655172414,"2021-03-04",155,5.3,2021,0.424137931034482,8.69872701555869,108.698727015559,0.211584854531179,NA,NA,NA,NA
425.6,113.29,951,2021,-0.7,NA,-14.5833333333333,NA,85.4166666666667,NA,-0.519928075075806,NA,3.57586206896552,3.4,29,1.29025334511532,0.724137931034483,"2021-03-04",155,4.2,2021,0.624137931034483,17.4541947926712,117.454194792671,0.483732852464488,NA,NA,NA,NA
422.58,111.25,949,2021,-1.53,NA,-25.8010118043845,NA,74.1989881956155,NA,-0.858109226914837,NA,4.36,4.05,30,1.83013095442507,0.633333333333333,"2021-03-04",155,4.4,2021,0.04,0.917431192660551,100.917431192661,0.0218563594606627,NA,NA,NA,NA
420.45,115.79,950,2021,-1.98,NA,-21.5686274509804,NA,78.4313725490196,NA,-0.691819089588626,NA,6.63666666666667,5.9,30,2.87371960493993,0.666666666666667,"2021-03-04",155,7.3,2021,0.663333333333333,9.99497739829231,109.994977398292,0.230827437789359,NA,NA,NA,NA
399.61,188.02,946,2021,-0.550000000000001,NA,-2.35546038543897,NA,97.644539614561,NA,-0.0768462751579481,NA,19.02,19.55,30,4.69676337565526,0.8,"2021-03-04",155,23.1,2021,4.08,21.4511041009464,121.451104100946,0.868683319485047,NA,NA,NA,NA
403.23,189.81,1103,2021,1.11,NA,3.77679482817285,NA,103.776794828173,NA,0.0892310331978509,NA,28.2551724137931,27.6,29,7.79443877787676,0.655172413793103,"2021-03-04",155,30.8,2021,2.5448275862069,9.0065901879424,109.006590187942,0.326492728819678,NA,NA,NA,NA
552.4,213.23,1001,2021,-10.855,NA,-27.794136474203,NA,72.205863525797,NA,-0.782638458281385,NA,32.9090909090909,33.8,11,10.0122379661547,0.454545454545455,"2021-03-04",155,33,2021,0.0909090909090935,0.27624309392266,100.276243093923,0.0090797972657464,NA,NA,NA,NA
